
1000 0.001745
2000 0.007085
3000 0.014712
4000 0.025266
5000 0.039121
6000 0.057175
7000 0.076864
8000 0.098135
9000 0.126351
10000 0.155646
11000 0.190531
12000 0.225253
13000 0.264173
14000 0.302869
15000 0.348191
16000 0.400315
17000 0.448208
18000 0.501206
19000 0.559082
20000 0.619007
21000 0.684702
22000 0.751498
23000 0.815957
24000 0.892893
25000 0.962664
26000 1.04139
27000 1.12907
28000 1.21201
29000 1.29575
30000 1.39405
31000 1.50824
32000 1.61396
33000 1.68013
34000 1.78108
35000 1.88854
36000 1.99896
37000 2.10647
38000 2.22458
39000 2.34488
40000 2.46264
41000 2.58604
42000 2.71803
43000 2.85007
44000 2.98127
45000 3.12294
46000 3.26583
47000 3.42854
48000 3.5524
49000 3.7102
50000 3.86107
