
1000 0.003477
2000 0.010923
3000 0.02389
4000 0.039762
5000 0.066352
6000 0.102998
7000 0.143562
8000 0.190101
9000 0.25063
10000 0.309138
11000 0.380806
12000 0.454806
13000 0.56574
14000 0.655213
15000 0.805358
16000 0.92982
17000 1.01116
18000 1.09543
19000 1.21768
20000 1.38015
21000 1.48211
22000 1.63134
23000 1.79689
24000 1.95051
25000 2.12165
26000 2.30391
27000 2.58852
28000 2.79554
29000 2.93555
30000 3.08992
31000 3.31357
32000 3.53173
33000 3.76348
34000 4.01057
35000 4.23865
36000 4.47823
37000 4.74606
38000 5.02114
39000 5.44318
40000 5.85292
41000 5.92983
42000 6.34013
43000 6.82234
44000 6.8298
45000 7.07407
46000 7.40308
47000 7.74252
48000 8.21199
49000 8.93191
50000 9.00074
