
1000 0.001366
2000 0.005752
3000 0.012192
4000 0.020683
5000 0.031466
6000 0.050382
7000 0.062401
8000 0.085819
9000 0.107392
10000 0.129519
11000 0.156035
12000 0.183774
13000 0.217069
14000 0.261888
15000 0.298298
16000 0.330834
17000 0.397214
18000 0.433638
19000 0.480503
20000 0.529056
21000 0.629553
22000 0.633941
23000 0.703278
24000 0.770221
25000 0.805811
26000 0.882723
27000 0.916474
28000 0.990562
29000 1.06441
30000 1.19987
31000 1.2207
32000 1.32074
33000 1.38625
34000 1.48642
35000 1.56463
36000 1.64882
37000 1.75085
38000 1.85916
39000 1.92957
40000 2.01096
41000 2.11454
42000 2.23535
43000 2.35346
44000 2.4561
45000 2.55963
46000 2.68783
47000 2.8362
48000 2.96111
49000 3.04207
50000 3.16932
